Start training...
Start training...
Start training...
Start training...
Start training...
Start training...
Start training...
Iter[3] Batch[46] Train-mae=0.529348
Iter[3] Batch[48] Train-mae=0.529391
Epoch[3] Train-mae=0.529391
Epoch[3] Time cost=221.750
Saved checkpoint to "unet-0004.params"
Epoch[3] Validation-mae=0.522768
Iter[4] Batch[0] Train-mae=0.526337
Iter[4] Batch[2] Train-mae=0.528283
Iter[4] Batch[4] Train-mae=0.528969
Iter[4] Batch[6] Train-mae=0.528632
Iter[4] Batch[8] Train-mae=0.528592
Iter[4] Batch[10] Train-mae=0.527710
Iter[4] Batch[12] Train-mae=0.527814
Iter[4] Batch[14] Train-mae=0.526305
Iter[4] Batch[16] Train-mae=0.526340
Iter[4] Batch[18] Train-mae=0.525490
Iter[4] Batch[20] Train-mae=0.526523
Iter[4] Batch[22] Train-mae=0.527014
Iter[4] Batch[24] Train-mae=0.527247
Iter[4] Batch[26] Train-mae=0.527598
Iter[4] Batch[28] Train-mae=0.527383
Iter[4] Batch[30] Train-mae=0.527380
Iter[4] Batch[32] Train-mae=0.527417
Iter[4] Batch[34] Train-mae=0.527017
Iter[4] Batch[36] Train-mae=0.527170
Iter[4] Batch[38] Train-mae=0.527136
Iter[4] Batch[40] Train-mae=0.527038
Iter[4] Batch[42] Train-mae=0.526926
Iter[4] Batch[44] Train-mae=0.526932
Iter[4] Batch[46] Train-mae=0.526898
Iter[4] Batch[48] Train-mae=0.526596
Epoch[4] Train-mae=0.526596
Epoch[4] Time cost=214.269
Saved checkpoint to "unet-0005.params"
Epoch[4] Validation-mae=0.518983
Iter[5] Batch[0] Train-mae=0.513006
Iter[5] Batch[2] Train-mae=0.514525
Iter[5] Batch[4] Train-mae=0.516307
Iter[5] Batch[6] Train-mae=0.521835
Iter[5] Batch[8] Train-mae=0.522042
Iter[5] Batch[10] Train-mae=0.521757
Iter[5] Batch[12] Train-mae=0.522048
Iter[5] Batch[14] Train-mae=0.522963
Iter[5] Batch[16] Train-mae=0.523656
Iter[5] Batch[18] Train-mae=0.524150
Iter[5] Batch[20] Train-mae=0.524300
Iter[5] Batch[22] Train-mae=0.523767
Iter[5] Batch[24] Train-mae=0.523507
Iter[5] Batch[26] Train-mae=0.523859
Iter[5] Batch[28] Train-mae=0.524340
Iter[5] Batch[30] Train-mae=0.524274
Iter[5] Batch[32] Train-mae=0.524440
Iter[5] Batch[34] Train-mae=0.524526
